hits,txAmount,averageTA,visitors,data
16083,125247625,7787.58,15768,1617236/0001209191-17-041874/-index.htm
16107,98266026,6100.83,6953,1350487/0001193125-17-216455/-index.htm
16115,103365813,6414.26,5746,1100663/0001193125-17-216006/-index.htm
16481,73329796,4449.35,6923,312070/0000950103-17-006059/-index.htm
16655,126082275,7570.24,16342,1707522/0001387131-17-003454/-index.htm
16992,127579305,7508.2,16450,1419600/0001209191-17-041874/-index.htm
17109,49478672,2891.97,16846,1589094/0001193125-17-214834/-index.htm
17230,49209904,2856.06,16858,1551693/0001193125-17-212318/-index.htm
17272,54915312,3179.44,16892,1551693/0001193125-17-212326/-index.htm
17311,60227064,3479.12,17037,1589094/0001193125-17-214767/-index.htm
17439,57301013,3285.8,17096,814586/0001683168-17-001655/-index.htm
17459,51983630,2977.47,16989,725876/0001493152-17-007220/-index.htm
17460,48815686,2795.86,16899,917851/0001104659-17-041852/-index.htm
17501,127802170,7302.56,16965,1528557/0001387131-17-003454/-index.htm
17757,49939001,2812.36,17174,1326190/0001193125-17-215022/-index.htm
17806,51017570,2865.19,17219,1299139/0001493152-17-007204/-index.htm
17822,54319853,3047.91,17226,1084048/0001193125-17-215017/-index.htm
17875,55437358,3101.39,17297,1072379/0001144204-17-034437/-index.htm
18341,49002093,2671.72,17620,917851/0001104659-17-041492/-index.htm
18364,49003848,2668.47,17619,917851/0001104659-17-041493/-index.htm
18386,128670172,6998.27,16930,1644963/0001144204-17-034204/-index.htm
18400,72457129,3937.89,7283,1350487/0001193125-17-213475/-index.htm
18836,66643876,3538.11,18355,1059562/0001626129-17-000427/-index.htm
19025,1186869256,62384.72,8457,1174610/0001193125-17-216350/-index.htm
19902,79137352,3976.35,8854,312070/0001104659-17-042156/-index.htm
20998,161762975,7703.73,20833,315066/0000315066-17-002493/-index.htm
21953,68962516,3141.37,21140,47518/0001214659-17-004166/-index.htm
21994,164810428,7493.43,21454,1442836/0000315066-17-002493/-index.htm
23088,106478467,4611.85,10047,312070/0000950103-17-006180/-index.htm
